geo,life_expectancy_years,time
alb,35.4,1864
alb,35.4,1865
alb,35.4,1866
alb,35.4,1867
alb,35.4,1868
alb,35.4,1869
alb,35.4,1870
alb,35.4,1871
alb,35.4,1872
alb,35.4,1873
alb,35.4,1874
alb,35.4,1875
alb,35.4,1876
alb,35.4,1877
alb,35.4,1878
alb,35.4,1879
alb,35.4,1880
alb,35.4,1881
alb,35.4,1882
alb,35.4,1883
alb,35.4,1884
alb,35.4,1885
alb,35.4,1886
alb,35.4,1887
alb,35.4,1888
alb,35.4,1889
alb,35.4,1890
alb,35.4,1891
alb,35.4,1892
alb,35.4,1893
alb,35.4,1894
alb,35.4,1895
alb,35.4,1896
alb,35.4,1897
alb,35.4,1898
alb,35.4,1899
alb,35.4,1900
alb,35.4,1901
alb,35.4,1902
alb,35.4,1903
alb,35.4,1904
alb,35.4,1905
alb,35.4,1906
alb,35.4,1907
alb,35.4,1908
alb,35.4,1909
alb,35.4,1910
alb,35.4,1911
alb,35.4,1912
alb,35.4,1913
alb,35.4,1914
alb,35.4,1915
alb,35.4,1916
alb,35.4,1917
alb,19.43,1918
alb,35.4,1919
alb,35.4,1920
alb,35.4,1921
alb,35.39,1922
alb,35.39,1923
alb,35.38,1924
alb,35.38,1925
alb,35.37,1926
alb,35.37,1927
alb,35.36,1928
alb,35.36,1929
alb,36.25,1930
alb,37.14,1931
alb,38.02,1932
alb,38.91,1933
alb,39.8,1934
alb,40.69,1935
alb,41.58,1936
alb,42.47,1937
alb,43.36,1938
alb,42.91,1939
alb,41.9,1940
alb,41.4,1941
alb,39.89,1942
alb,36.89,1943
alb,33.88,1944
alb,46.88,1945
alb,49.87,1946
alb,51.37,1947
alb,52.26,1948
alb,53.15,1949
alb,54.04,1950
alb,54.25,1951
alb,54.72,1952
alb,55.31,1953
alb,56.02,1954
alb,56.84,1955
alb,57.77,1956
alb,58.79,1957
alb,59.88,1958
alb,61,1959
alb,62.09,1960
alb,63.11,1961
alb,63.99,1962
alb,64.71,1963
alb,65.26,1964
alb,65.64,1965
alb,65.89,1966
alb,66.08,1967
alb,66.26,1968
alb,66.46,1969
alb,66.7,1970
alb,67.1,1971
alb,67.5,1972
alb,68,1973
